concern_key,concern_name,layer,description,is_active,risk_tags
A1,System Context View,Context & Application,System boundary. What is inside and outside the system?,True,
A2,Application Functional View,Context & Application,Functional decomposition. How are application functions grouped?,True,
A3,Application Interaction View,Context & Application,Application collaboration. How do applications interact and depend on each other?,True,
A4,User Role-Application Mapping View,Context & Application,Access responsibility. Which roles can access which applications?,True,
A5,Application Domain Boundary,Context & Application,Clarify service boundaries and domain ownership.,True,
A6,Application Resilience,Context & Application,"Define fallback, retry, and graceful degradation strategy.",True,
AGD1,Architecture Decision View,Architecture Governance & Decision,Decision rationale. What architectural decisions were made and why?,True,
AGD2,Evolution & Change Impact View,Architecture Governance & Decision,Change analysis. What is impacted by a proposed change?,True,
AGD3,Quality Attribute Trade-off View,Architecture Governance & Decision,Trade-off reasoning. How are quality attributes balanced?,True,
AGD4,Cost & Value View,Architecture Governance & Decision,Economic impact. What are the costs and expected value?,True,
AGD5,Team-Architecture Alignment View,Architecture Governance & Decision,Organizational fit. Are teams aligned with the architecture?,True,
AGD6,Control Traceability Matrix,Architecture Governance & Decision,"Trace controls to policies, systems, and responsible roles.",True,
AGD7,Architecture Decision Record,Architecture Governance & Decision,Document decision rationale and approval trail.,True,
B1,Business Capability View,Business / Organization,Capability structure. What business capabilities exist and which are critical?,True,
B2,Business Process View,Business / Organization,End-to-end workflows. How do business processes execute across domains?,True,
B3,User / Actor View,Business / Organization,Users and roles. Who interacts with the system and in what roles?,True,
B4,Organizational Ownership View,Business / Organization,"Accountability and governance. Who owns systems, data, and decisions?",True,
B5,Interaction & Influence View,Business / Organization,Cross-domain influence. How do organizational units influence each other?,True,
C1,Container View,Container / Component / Technical Service,Runtime containers. What are the main runtime units?,True,
C2,Component View,Container / Component / Technical Service,Internal modularity. How are components structured within containers?,True,
C3,Technical Service View,Container / Component / Technical Service,Service responsibility. What capability boundary does each service own?,True,
C4,Technical Stack View,Container / Component / Technical Service,"Technology choices. Which languages, frameworks, and platforms are used?",True,
C5,Communication & Protocol View,Container / Component / Technical Service,Interaction mechanisms. How do components communicate?,True,
D1,Business Data Flow View,Data Architecture,Business data movement. How does data support business processes?,True,
D10,Logical Data Model View,Data Architecture,Logical schema. How are entities logically related?,True,
D11,Physical Data Model View,Data Architecture,Physical schema. How is data physically implemented?,True,
D12,Data Governance,Data Architecture,"Define ownership, retention, and quality accountability.",False,
D13,Data Lineage and Flow,Data Architecture,Track key data flows from source to consumption.,False,
D2,Data Derivation & Evolution View,Data Architecture,Data transformation. How is data derived and transformed?,True,
D3,Data Lineage View,Data Architecture,Traceability. Where does data originate and propagate?,True,
D4,Data Asset View,Data Architecture,Ownership and value. What data assets exist and who owns them?,True,
D5,Conceptual Data Entity View,Data Architecture,Business entities. What core business entities exist?,True,
D6,Data Quality View,Data Architecture,"Quality assurance. Is data accurate, complete, and timely?",True,
D7,Data Compliance Flow View,Data Architecture,Regulatory paths. Does data usage comply with regulations?,True,
D8,Data Pipeline View,Data Architecture,Technical pipelines. How is data processed technically?,True,
D9,Data Sovereignty View,Data Architecture,Residency constraints. Where is data stored and restricted?,True,
DIN1,Application Deployment Location View,Deployment / Infrastructure / Networking,Deployment topology. Where are applications deployed?,True,
DIN2,Network Topology View,Deployment / Infrastructure / Networking,Network segmentation. How is the network structured?,True,
DIN3,Infrastructure Composition View,Deployment / Infrastructure / Networking,Infrastructure layout. What infrastructure components exist?,True,
DIN4,Resource & Capacity View,Deployment / Infrastructure / Networking,Scaling and capacity. How are resources allocated and scaled?,True,
DIN5,Disaster Recovery,Deployment / Infrastructure / Networking,"Define backup, restore, and regional failover strategy.",True,
DIN6,Scalability and Capacity,Deployment / Infrastructure / Networking,Plan horizontal and vertical scaling with bottleneck controls.,True,
IP1,Application Integration View,Integration & Processing,Business-level integration. How do applications exchange data?,True,
IP2,Technical Integration View,Integration & Processing,"Technical constraints. What latency, throughput, or coupling constraints exist?",True,
IP3,System Processing View,Integration & Processing,Execution semantics. How are requests processed end-to-end?,True,
IP4,Activity View,Integration & Processing,Action paths. What actions and decisions occur during execution?,True,
IP5,Process Flow View,Integration & Processing,Workflow execution. How do workflows orchestrate services?,True,
IP6,Sequence Interaction View,Integration & Processing,Call ordering. What is the interaction sequence?,True,
IP7,Interface Contract Stability,Integration & Processing,"Specify APIs, versioning, and compatibility guarantees.",True,
IP8,Dependency and Interaction Map,Integration & Processing,Capture cross-system dependencies and communication paths.,True,
OR1,Operations View,Operations & Reliability,Incident handling. How are incidents managed operationally?,True,
OR2,Resilience & DR View,Operations & Reliability,Recovery strategy. What are RPO/RTO objectives?,True,
OR3,Reliability & SLO View,Operations & Reliability,Reliability targets. What service levels are required?,True,
OR4,Monitoring & Observability View,Operations & Reliability,System visibility. How is system health observed?,True,
OR5,Operational Feedback View,Operations & Reliability,Learning loops. How do operations inform evolution?,True,
OR6,Observability and Alerting,Operations & Reliability,"Define telemetry signals, SLOs, and alert ownership.",False,
OR7,Operability Runbook,Operations & Reliability,"Specify runbooks for incident, release, and rollback.",False,
SCR1,Security Control View,"Security, Compliance & Risk",Control mechanisms. What controls enforce security policy?,True,
SCR10,Data Protection,"Security, Compliance & Risk","Describe encryption, tokenization, and sensitive data handling.",False,
SCR11,Identity and Access Control,"Security, Compliance & Risk","Access governance. Are least-privilege, access-review, joiner-mover-leaver, and privileged-account controls defined?",True,
SCR2,Threat & Risk Modeling View,"Security, Compliance & Risk",Threat analysis. What threats and risks exist?,True,
SCR3,Attack Path View,"Security, Compliance & Risk",Adversarial traversal. How could an attacker move through the system?,True,
SCR4,Service Authentication View,"Security, Compliance & Risk",Service trust. How do services authenticate each other?,True,
SCR5,User Authentication View,"Security, Compliance & Risk",User identity. How are users authenticated?,True,
SCR6,Authorization & Access Control View,"Security, Compliance & Risk",Access enforcement. Who is authorized to do what?,True,
SCR7,Compliance Boundary View,"Security, Compliance & Risk",Regulatory scope. Which regulations apply and where?,True,
SCR8,Change Readiness,"Security, Compliance & Risk",Assess migration and release readiness risks.,False,
SCR9,External Dependency Risk,"Security, Compliance & Risk",Assess vendor and API dependency contingency plans.,False,
